Выписка по счету;40702810900000000123
Организация;"ООО ""Альфа-Трейд"""
ИНН;7700000123
Банк;"АО ""Банк Пример"""
Период;01.08.2026 - 31.08.2026
Входящий остаток;3 015 529,18

Дата;Номер документа;Списание;Поступление;Контрагент;ИНН контрагента;Назначение платежа
05.08.2026;382;;66 909,55;"АО ""Техномаркет""";7703000033;Оплата по счету №142 от 02.08.2026 за товар. В т.ч. НДС 22% - 12065-66 руб.
05.08.2026;383;;132 871,60;"ООО ""Горизонт Плюс""";7704000044;Оплата по счету №143 от 02.08.2026 за товар. В т.ч. НДС 22% - 23960-45 руб.
06.08.2026;397;;29 491,35;ИП Морозова Анна Сергеевна;500100006677;Оплата сч. 145. В т.ч. НДС 5318-11 руб.
07.08.2026;381;;363 788,30;"ООО ""Северный Путь""";7702000022;Оплата по счету №141 от 01.08.2026 за товар. В т.ч. НДС 22% - 65601-17 руб.
07.08.2026;384;;117 802,70;"ООО ""Лесная Поляна""";5001000055;Оплата по счету №144 от 03.08.2026 за товар. В т.ч. НДС 22% - 21243-11 руб.
08.08.2026;380;;159 425,15;"ООО ""Вектор""";7701000011;Оплата по счету №140 от 01.08.2026 за товар. В т.ч. НДС 22% - 28748-80 руб.
10.08.2026;386;;387 652,60;"ООО ""Вектор""";7701000011;Оплата по счету №152 от 07.08.2026 за товар. В т.ч. НДС 22% - 69904-57 руб.
10.08.2026;398;;100 620,15;"ООО ""Кварц""";7706000088;Оплата по счету №147 от 04.08.2026, НДС 22% - 18144-62
10.08.2026;399;;246 275,30;"ООО ""Медиана""";7707000100;inv-149 payment, VAT incl.
10.08.2026;400;;426 407,35;"АО ""Ресурс-Инвест""";7708000111;Оплата по сч 150 за поставку товара, в т.ч. НДС
10.08.2026;403;;84 141,32;"ООО ""Горизонт Плюс""";7704000044;Частичная оплата по сч. 155 от 08.08.2026
11.08.2026;388;;50 257,70;"ООО ""Лесная Поляна""";5001000055;Оплата по счету №156 от 09.08.2026 за товар. В т.ч. НДС 22% - 9062-86 руб.
11.08.2026;389;;131 303,65;ИП Морозова Анна Сергеевна;500100006677;Оплата по счету №157 от 09.08.2026 за товар. В т.ч. НДС 22% - 23677-71 руб.
11.08.2026;401;;401 103,15;"ООО ""Прибой""";2301000122;ОПЛАТА ПО СЧЕТУ 151 ОТ 06.08.2026 Г. СУММА 401103.15 В Т.Ч. НДС (22%) 72330-08
11.08.2026;419;318 656,70;;Казначейство России (ФНС России);7727406020;Единый налоговый платеж
12.08.2026;385;;384 955,85;"ООО ""Балтийский Склад""";7801000099;Оплата по счету №148 от 05.08.2026 за товар. В т.ч. НДС 22% - 69418-27 руб.
12.08.2026;387;;142 630,55;"АО ""Техномаркет""";7703000033;Оплата по счету №154 от 08.08.2026 за товар. В т.ч. НДС 22% - 25720-26 руб.
13.08.2026;391;;36 020,30;"ООО ""Прибой""";2301000122;Оплата по счету №163 от 12.08.2026 за товар. В т.ч. НДС 22% - 6495-46 руб.
13.08.2026;402;;297 509,85;"ООО ""СтройДеталь""";7705000077;"Оплата по счету №158 от 10.08.2026; договор 45/П; НДС 22% - 53649-32"
14.08.2026;423;2 500,00;;"АО ""Банк Пример""";7700999999;Комиссия за ведение счета за август
15.08.2026;405;;166 384,30;"ООО ""Балтийский Склад""";7801000099;Оплата по сч. 160, 161, 162 согласно договору. В т.ч. НДС 22% - 30003-73 руб.
16.08.2026;407;;194 452,90;"АО ""Техномаркет""";7703000033;Оплата по счету №166 от 14.08.2026 за товар. В т.ч. НДС 22% - 35966-92 руб.
17.08.2026;390;;131 901,55;"ООО ""Кварц""";7706000088;Оплата по счету №159 от 10.08.2026 за товар. В т.ч. НДС 22% - 23785-53 руб.
17.08.2026;408;;177 552,20;"ООО ""Горизонт Плюс""";7704000044;Оплата по договору поставки №12/26 от 15.01.2026. НДС включен
17.08.2026;422;73 893,65;;"ООО ""Логистик-Экспресс""";7722000288;Оплата транспортных услуг по сч. 145-Л
18.08.2026;392;;52 355,90;"ООО ""Вектор""";7701000011;Оплата по счету №164 от 13.08.2026 за товар. В т.ч. НДС 22% - 9441-23 руб.
18.08.2026;395;;135 558,15;"ООО ""Медиана""";7707000100;Оплата по счету №173 от 17.08.2026 за товар. В т.ч. НДС 22% - 24444-91 руб.
19.08.2026;420;496 480,85;;"ООО ""ПоставкаСервис""";7721000277;Оплата по счету №881 за товар. В т.ч. НДС 22%
20.08.2026;406;;156 935,10;"ООО ""Северный Путь""";7702000022;Оплата по счету №165 от 13.08.2026 за товар. В т.ч. НДС 22% - 28326-82 руб.
20.08.2026;424;11 914,85;;"ООО ""Телеком Пример""";7723000299;Оплата услуг связи по сч. 17
21.08.2026;393;;213 215,80;"ООО ""Горизонт Плюс""";7704000044;Оплата по счету №167 от 14.08.2026 за товар. В т.ч. НДС 22% - 38448-75 руб.
22.08.2026;394;;213 079,35;ИП Морозова Анна Сергеевна;500100006677;Оплата по счету №169 от 15.08.2026 за товар. В т.ч. НДС 22% - 38424-15 руб.
22.08.2026;396;;62 965,35;"ООО ""Прибой""";2301000122;Оплата по счету №175 от 18.08.2026 за товар. В т.ч. НДС 22% - 11354-41 руб.
22.08.2026;404;;56 094,98;"ООО ""Горизонт Плюс""";7704000044;Доплата по счету 155, окончательный расчет
23.08.2026;417;180 411,40;;"ООО ""Бизнес-Центр Пример""";7720000266;Арендная плата за август по договору 7/А. В т.ч. НДС 22%
23.08.2026;418;959 736,20;;"ООО ""Альфа-Трейд"" (зарплатный проект)";7700000123;Перечисление заработной платы за июль по реестру № 7
24.08.2026;409;;270 411,10;"ООО ""СтройДеталь""";7705000077;Оплата за товар по договору. НДС включен
24.08.2026;410;;272 787,85;ИП Сидоров Павел Олегович;771800025566;"Оплата за ООО ""Вектор"" по сч. 172 от 17.08.2026. НДС не облагается"
25.08.2026;411;;418 896,35;"АО ""Ресурс-Инвест""";7708000111;Оплата по счету №174 от 18.08.2026 за товар. В т.ч. НДС 22% - 74997-70 руб.
25.08.2026;412;;32 262,30;"ООО ""Вектор""";7701000011;Оплата по счету №176 от 19.08.2026 за товар. В т.ч. НДС 22% - 5817-79 руб.
25.08.2026;412;;32 262,30;"ООО ""Вектор""";7701000011;Оплата по счету №176 от 19.08.2026 за товар. В т.ч. НДС 22% - 5817-79 руб.
25.08.2026;415;;36 644,90;УФК по г. Москве (ИФНС России № 99 по г. Москве);7799000099;Возврат излишне уплаченного налога по решению № 1187
26.08.2026;413;;66 177,60;"ООО ""Северный Путь""";7702000022;Оплата по счету №177 от 19.08.2026 за товар. В т.ч. НДС 22% - 11933-67 руб.
26.08.2026;414;;66 177,60;"ООО ""Северный Путь""";7702000022;Оплата по счету №177 от 19.08.2026 за товар. В т.ч. НДС 22% - 11933-67 руб.
28.08.2026;421;287 784,80;;"ООО ""ПоставкаСервис""";7721000277;Оплата по счету №902 за товар. В т.ч. НДС 22%
30.08.2026;416;;63 429,30;ИП Морозова Анна Сергеевна;500100006677;Оплата по сч. 191 от 28.08.2026
Обороты за период;;2 331 378,45;6 346 449,00;;;
Исходящий остаток;;;7 030 599,73;;;
